timestamp,DecibelSource,PitchSensor
1558799741977,14.351352102568084,0.0
1558799742016,14.77718644847889,
1558799742057,10.49339181683913,0.0
1558799742096,12.150979475701668,
1558799742137,12.326813641644957,
1558799742176,10.487763716300947,
1558799742177,,0.0
1558799742217,9.346336963212902,
1558799742257,16.104961882521522,0.0
1558799742297,12.170724856498243,
1558799742337,14.292041650698991,0.0
1558799742377,13.371471560081593,
1558799742417,13.417391516815904,
1558799742457,17.135214805236565,0.0
1558799742497,33.26435419537668,
1558799742537,38.52530809664399,
1558799742547,,2631.11328125
1558799742548,,2631.11328125
1558799742576,38.28274875523354,
1558799742577,,2631.11328125
1558799742616,45.8404845163881,
1558799742617,,2631.11328125
1558799742656,46.265972473535875,
1558799742697,48.6070127203725,
1558799742703,,194.267578125
1558799742757,49.5250403778369,194.267578125
1558799742797,41.34388749078725,194.267578125
1558799742837,37.11624179543437,194.267578125
1558799742842,,201.4404296875
1558799742876,33.81274671051662,201.4404296875
1558799742917,29.972720202371374,201.4404296875
1558799742957,25.96001544999885,
1558799742996,23.734323368079654,
1558799742997,,0.0
1558799743037,37.1569731325524,
1558799743077,39.00508919434661,
1558799743117,41.71567941319431,
1558799743124,,80.3662109375
1558799743157,45.55512388706517,80.3662109375
1558799743197,47.27959262477502,80.3662109375
1558799743237,48.986317222590856,
1558799743276,44.512112527803865,
1558799743282,,199.5654296875
1558799743317,38.101515889535456,199.5654296875
1558799743357,33.266714799536345,199.5654296875
1558799743364,,154.794921875
1558799743397,32.95058538372105,154.794921875
1558799743437,26.69765544522378,154.794921875
1558799743477,16.37110959453512,154.794921875
1558799743516,13.795644888267729,
1558799743557,12.789066383004757,0.0
1558799743597,12.663718862797941,
1558799743637,12.528557388131434,0.0
1558799743676,13.04794322997039,
1558799743716,16.489967386960345,
1558799743757,13.892452124474522,0.0
1558799743796,18.585056436918713,
1558799743836,31.20228626207334,
1558799743837,,0.0
1558799743876,59.685165129855406,
1558799743917,60.54500579340317,
1558799743924,,710.908203125
1558799743956,50.08504073381471,
1558799743957,,710.908203125
1558799744016,59.24261232494803,
1558799744017,,710.908203125
1558799744056,59.70865484546223,
1558799744096,63.11383423091553,
1558799744136,55.50157598989497,
1558799744143,,616.0400390625
1558799744176,54.766335209368016,616.0400390625
1558799744216,61.73027265290666,616.0400390625
1558799744223,,447.900390625
1558799744256,50.80711746541737,447.900390625
1558799744296,41.72522742485593,447.900390625
1558799744301,,483.9501953125
1558799744336,62.27648833396866,
1558799744337,,483.9501953125
1558799744376,59.221184267414415,
1558799744377,,483.9501953125
1558799744416,49.49661821259476,
1558799744417,,483.9501953125
1558799744457,59.09605564085564,
1558799744496,53.03185118895599,
1558799744515,,215.58485243055554
1558799744537,42.885833478585695,215.58485243055554
1558799744577,39.4947294295886,215.58485243055554
1558799744616,56.37342487544196,
1558799744657,55.173281945312,
1558799744672,,797.8529866536458
1558799744696,54.184286165158255,797.8529866536458
1558799744736,51.68704980174566,
1558799744737,,797.8529866536458
1558799744778,46.74679779641073,797.8529866536458
1558799744784,,424.1943359375
1558799744816,55.236594073399424,424.1943359375
1558799744856,60.395673273387715,424.1943359375
1558799744896,49.108617763245746,
1558799744937,35.613830595783355,
1558799744949,,607.9296875
1558799744977,64.29718254544576,
1558799744978,,607.9296875
1558799745017,69.91566683598262,607.9296875
1558799745057,61.64563836867689,607.9296875
1558799745097,53.76399344056733,
1558799745137,57.58280748836505,
1558799745152,,289.2138671875
1558799745177,55.65128744700715,289.2138671875
1558799745217,54.96366552263793,289.2138671875
1558799745257,53.69478065062654,
1558799745317,50.343149935746894,
1558799745331,,397.8173828125
1558799745357,57.585131876065496,397.8173828125
1558799745397,48.83001610469353,397.8173828125
1558799745437,57.869216072979306,397.8173828125
1558799745444,,332.6708984375
1558799745477,54.612733047840685,332.6708984375
1558799745517,32.41115619964574,332.6708984375
1558799745557,32.539209083049236,
1558799745597,44.3301059603591,
1558799745603,,385.87890625
1558799745637,55.00518811001703,385.87890625
1558799745677,53.69011648703251,385.87890625
1558799745717,52.89824082126848,385.87890625
1558799745736,,349.765625
1558799745737,,349.765625
1558799745757,56.44901607702123,349.765625
1558799745797,51.89480589751997,349.765625
1558799745820,,175.31290690104169
1558799745837,47.39679994473625,175.31290690104169
1558799745877,40.052345832913545,175.31290690104169
1558799745893,,176.033935546875
1558799745917,31.407194794832193,176.033935546875
1558799745957,40.24364704005065,176.033935546875
1558799745997,58.14241137676667,
1558799746037,51.20798030461519,
1558799746077,51.49431879812144,
1558799746096,,227.14680989583331
1558799746117,54.35433269632638,227.14680989583331
1558799746157,54.45940825429076,227.14680989583331
1558799746180,,169.44112141927081
1558799746197,50.07538190709381,169.44112141927081
1558799746237,44.538010515772285,169.44112141927081
1558799746277,43.31345714022997,
1558799746317,48.40588061537445,
1558799746357,53.15478659671905,
1558799746380,,527.2093098958333
1558799746381,,527.2093098958333
1558799746397,47.146093334597346,527.2093098958333
1558799746437,52.2303607943364,527.2093098958333
1558799746452,,347.1875
1558799746477,59.63037354587905,347.1875
1558799746517,50.35146722003141,347.1875
1558799746577,47.10551189626518,
1558799746617,47.77468125431004,
1558799746636,,84.49227469308036
1558799746657,55.77640817439026,84.49227469308036
1558799746697,56.373505944842236,84.49227469308036
1558799746737,59.36382400185028,84.49227469308036
1558799746777,65.97200648466855,
1558799746817,65.81592744537032,
1558799746838,,281.669921875
1558799746857,48.57435238087965,281.669921875
1558799746897,53.34368115094005,281.669921875
1558799746917,,182.5048828125
1558799746936,49.97172389143442,182.5048828125
1558799746977,52.419715124626016,182.5048828125
1558799747017,48.7761298762085,182.5048828125
1558799747057,49.15057639817479,
1558799747097,52.7382025089118,
1558799747117,,162.34375
1558799747137,57.99179146613025,162.34375
1558799747177,65.06464454470752,162.34375
1558799747217,57.11540275292798,
1558799747257,49.7297434557382,
1558799747273,,330.7958984375
1558799747297,60.59925471370608,330.7958984375
1558799747337,63.50041546197264,330.7958984375
1558799747377,58.606097937993866,330.7958984375
1558799747393,,202.61474609375
1558799747417,58.237641514657966,202.61474609375
1558799747457,54.735813100328016,202.61474609375
1558799747474,,206.66402180989581
1558799747498,44.93199377179757,206.66402180989581
1558799747537,54.964611400726724,206.66402180989581
1558799747554,,174.03645833333331
1558799747577,46.134104750328824,174.03645833333331
1558799747617,55.00403009222254,174.03645833333331
1558799747657,51.89863066889017,174.03645833333331
1558799747672,,156.64171006944446
1558799747696,51.55052952854789,
1558799747697,,156.64171006944446
1558799747737,50.24024090440531,156.64171006944446
1558799747748,,159.8206787109375
1558799747777,51.63427249743656,159.8206787109375
1558799747816,51.26219571237986,159.8206787109375
1558799747827,,150.4814453125
1558799747876,44.885840700707284,
1558799747877,,150.4814453125
1558799747916,49.887592913400674,150.4814453125
1558799747923,,198.431396484375
1558799747956,51.320044266288384,
1558799747957,,198.431396484375
1558799747997,51.66922067038017,198.431396484375
1558799748037,45.26301841073848,198.431396484375
1558799748052,,231.41805013020831
1558799748077,45.459981184373476,231.41805013020831
1558799748117,56.65121784734751,231.41805013020831
1558799748133,,163.07454427083331
1558799748157,51.82282273448492,163.07454427083331
1558799748197,48.34831662789159,163.07454427083331
1558799748237,53.33506962044653,
1558799748277,48.7752023172544,
1558799748317,50.029682092205135,
1558799748336,,154.515380859375
1558799748357,49.891633283866796,154.515380859375
1558799748397,53.57787606061146,154.515380859375
1558799748418,,151.45751953125
1558799748437,59.77595250058751,151.45751953125
1558799748477,60.10118895574324,151.45751953125
1558799748495,,163.0127156575521
1558799748517,56.90505557384242,163.0127156575521
1558799748557,56.14506209506032,163.0127156575521
1558799748579,,216.06305803571428
1558799748597,57.800230391399616,216.06305803571428
1558799748637,54.13073223945205,216.06305803571428
1558799748677,44.23409060373709,216.06305803571428
1558799748701,,122.74365234375
1558799748717,47.60271104959184,122.74365234375
1558799748757,49.22305323106602,122.74365234375
1558799748774,,172.265625
1558799748797,54.35126247712947,172.265625
1558799748837,43.16008441025616,
1558799748838,,172.265625
1558799748877,49.902154459763054,
1558799748917,49.82459572778641,
1558799748957,52.98168066691617,
1558799748972,,315.567626953125
1558799748997,53.97119220610527,315.567626953125
1558799749037,58.78198746374454,315.567626953125
1558799749053,,186.94661458333334
1558799749077,57.636995733342715,186.94661458333334
1558799749137,51.750637394099826,186.94661458333334
1558799749176,46.52464839882512,
1558799749217,49.57457275565155,
1558799749230,,193.017578125
1558799749257,55.940620318738745,193.017578125
1558799749297,57.66355509275016,193.017578125
1558799749337,57.30080609626626,193.017578125
1558799749353,,221.98811848958334
1558799749377,64.86428853552242,221.98811848958334
1558799749417,52.202600773574616,221.98811848958334
1558799749429,,219.94140625
1558799749457,46.382143820079705,219.94140625
1558799749497,37.515602957494664,219.94140625
1558799749537,55.01291267787748,
1558799749577,54.21107677777843,
1558799749617,52.01305924915136,
1558799749642,,157.72192382812497
1558799749657,56.19341522929624,157.72192382812497
1558799749697,57.591847864249246,157.72192382812497
1558799749737,55.65293729622044,
1558799749777,49.0728220823836,
1558799749788,,422.2412109375
1558799749789,,422.2412109375
1558799749818,51.438610315343766,422.2412109375
1558799749857,56.52418397767411,422.2412109375
1558799749874,,311.2939453125
1558799749897,52.545462227156534,311.2939453125
1558799749937,51.29040131799354,311.2939453125
1558799749977,53.08899804948404,311.2939453125
1558799749995,,158.09187825520834
1558799750017,45.68404368063995,158.09187825520834
1558799750057,44.32292888971175,158.09187825520834
1558799750074,,157.91035970052084
1558799750097,47.408430118701716,157.91035970052084
1558799750137,45.82861273927264,157.91035970052084
1558799750148,,163.81439208984375
1558799750177,31.491783750114394,163.81439208984375
1558799750217,38.345630753498824,163.81439208984375
1558799750257,58.49992702598794,163.81439208984375
1558799750278,,101.12060546875
1558799750297,54.36674804537425,101.12060546875
1558799750337,52.983293221667545,101.12060546875
1558799750377,52.03123788289059,
1558799750437,51.51216269179809,
1558799750455,,180.16451687282986
1558799750476,49.930791425441974,
1558799750477,,180.16451687282986
1558799750517,49.91347180315885,180.16451687282986
1558799750543,,139.49800812251985
1558799750557,45.364861537128355,139.49800812251985
1558799750597,52.07000075499273,139.49800812251985
1558799750637,56.86118488703136,139.49800812251985
1558799750677,48.38617308935649,
1558799750717,52.17409242017539,
1558799750733,,510.9130859375
1558799750757,61.32081706948294,510.9130859375
1558799750797,58.588268094368836,510.9130859375
1558799750837,39.084730806428716,
1558799750877,28.206891889744018,
1558799750917,50.98889605652978,
1558799750940,,193.673828125
1558799750957,53.724251256770906,193.673828125
1558799750997,57.59378528618232,193.673828125
1558799751019,,105.4261474609375
1558799751037,51.599706608623805,105.4261474609375
1558799751077,42.09652026432677,105.4261474609375
1558799751117,58.04070112657815,
1558799751157,56.72494096138166,
1558799751174,,547.8466796875
1558799751197,56.22868628937276,547.8466796875
1558799751237,55.97250850803988,547.8466796875
1558799751277,46.18919431679348,547.8466796875
1558799751292,,522.5634765625
1558799751317,50.42674966374151,522.5634765625
1558799751357,54.1404559967515,522.5634765625
1558799751397,47.71763476299906,
1558799751437,55.44443934815228,
1558799751453,,165.22599283854166
1558799751477,50.046266657537934,165.22599283854166
1558799751517,45.145894914959435,165.22599283854166
1558799751557,45.286653488596436,165.22599283854166
1558799751568,,220.17578125
1558799751597,53.02411277918012,220.17578125
1558799751637,56.814109368362864,220.17578125
1558799751651,,250.72591145833334
1558799751697,51.91976102887344,250.72591145833334
1558799751736,57.580484123543684,
1558799751737,,250.72591145833334
1558799751776,51.87412775877088,
1558799751817,50.285020793358825,
1558799751831,,279.853515625
1558799751857,55.63601311017074,279.853515625
1558799751897,57.91715303606044,279.853515625
1558799751938,57.423881411908475,279.853515625
1558799751977,50.833823210771804,
1558799752017,44.445778083646665,
1558799752038,,61.69466145833333
1558799752057,31.41781415025275,61.69466145833333
1558799752097,27.06682547045896,61.69466145833333
1558799752137,49.79958246119919,
1558799752177,50.69514316649811,
1558799752217,35.92644597652034,
1558799752228,,138.19837782118054
1558799752256,51.00277991478177,
1558799752257,,138.19837782118054
1558799752297,53.855432256312795,138.19837782118054
1558799752318,,148.77183702256946
1558799752336,45.688503755263106,
1558799752337,,148.77183702256946
1558799752377,46.59386303707852,148.77183702256946
1558799752417,44.695214367909735,
1558799752457,44.08389023972744,
1558799752472,,308.0126953125
1558799752497,42.332317088302005,308.0126953125
1558799752537,46.17398242158342,308.0126953125
1558799752577,34.2959575918673,308.0126953125
1558799752617,51.987742513268806,
1558799752657,52.175725551598134,
1558799752676,,144.97941080729166
1558799752697,52.24954622384846,144.97941080729166
1558799752737,53.29534767840316,144.97941080729166
1558799752751,,138.3883289155506
1558799752776,51.869503223250284,
1558799752777,,138.3883289155506
