relative_time,PitchSensor,DecibelSource
0,,49.7839053498307
13,,49.7839053498307
80,79.599609375,50.55481540510064
150,79.599609375,53.22771118418714
213,45.380859375,53.666339824066085
280,33.2958984375,49.966079767841194
350,46.005859375,47.15886402454576
413,51.875,53.81143972520988
480,51.875,48.55282864274575
550,44.0283203125,49.312594941851344
613,40.322265625,57.62394191528725
680,41.650390625,54.79897636551713
750,39.697265625,60.100475344526956
813,39.697265625,54.90000641890952
880,37.2021484375,60.56407413670751
950,51.748046875,53.69833452526633
1013,71.5625,53.75348979380976
1080,71.5625,51.11225536548555
1151,93.3984375,49.603090167184256
1213,73.095703125,54.8716808190131
1280,47.40234375,59.93545561944293
1350,48.6279296875,58.229254717222794
1413,48.6279296875,48.91777117627721
1480,,51.912273818740104
1550,43.90625,46.29358622580341
1613,35.8203125,52.239084934423296
1680,35.8203125,55.334924341951904
1750,37.6806640625,49.40237490624498
1813,48.603515625,53.06815181116356
1880,45.0703125,53.57788152600634
1950,,58.66539570237439
2013,,62.816727417466225
2080,213.15932765151513,60.8888101786492
2150,233.66666666666666,57.71226521120661
2213,229.46961805555554,51.39891674464654
2280,229.46961805555554,55.371715767623854
2350,247.2265625,54.995674977383196
2413,248.30078125,56.82278684891084
2480,251.27604166666669,51.05169427999331
2550,,52.366833452691935
2613,,53.82663497799258
2680,64.140625,52.06075328067964
2751,,59.05944216501367
2813,192.65625,55.505340865995066
2880,209.86328125,56.08383741387439
2950,209.86328125,59.370331776638814
3013,,56.805548719207756
3080,248.671875,52.08637497147614
3150,336.796875,51.21379260945717
3213,336.796875,47.16070153031424
3280,,49.7959389584893
3350,85.01302083333333,51.205706410836754
3413,,49.90383258906234
3480,65.361328125,50.07167193147054
3550,65.361328125,47.62678563727437
3613,68.7841796875,50.65882084534795
3680,44.4091796875,51.17065703046973
3750,61.7724609375,54.42702346735082
3813,61.7724609375,58.400276382227986
3880,76.46484375,61.41776390515237
3950,42.138671875,48.76841113933868
4013,,53.345281378162845
4080,35.15625,55.013783582560706
4150,35.15625,54.31350895983698
4213,,54.662772902991875
4280,222.32421875,56.63020217329479
4351,220.9516059027778,52.238773710749484
4413,220.9516059027778,49.218112847042825
4480,,57.918898595970504
4550,421.875,51.13120754968672
4613,,55.23380933535982
4680,49.94298598345588,59.781193186609094
4750,49.94298598345588,55.71388523416352
4813,,52.19875180966678
4880,202.31119791666669,54.880329206911256
4950,,49.697000679075956
5013,206.19661458333334,59.88323018282788
5080,206.19661458333334,53.542871164876246
5150,190.84114583333334,48.32751538895118
5213,280.234375,49.129125511760975
5280,,51.85505324667393
5350,,54.93998665446341
5413,221.640625,55.21975777584523
5480,211.15885416666669,55.25153691107114
5550,,54.02003309069705
5613,35.33203125,53.287872003545345
5680,35.33203125,48.839565415740225
5750,,47.859345782130696
5813,93.93136160714286,48.09243136633154
5880,48.65234375,50.4588993018164
5950,48.65234375,45.644293269979826
6013,,47.39414102698695
6080,39.31640625,52.16268853515929
6150,,47.95476804945366
6213,58.39564732142857,45.55723055075053
6280,58.39564732142857,46.954291376895725
6350,,52.69428879085822
6413,45.302734375,47.53268905194753
6480,45.625,51.9017476342562
6550,45.625,49.223101632143965
6613,57.705078125,51.55463573759529
6680,52.9443359375,53.284081476778894
6750,,57.9312446824141
6813,217.0458984375,54.333729490160756
6880,217.0458984375,55.25306601206367
6950,220.771484375,56.14431048065774
7013,224.220703125,55.90870801636309
7080,233.85416666666666,55.178040122919604
7150,256.95963541666663,59.177569809373686
7213,256.95963541666663,50.80648128964711
7280,224.0625,60.68176953050033
7350,219.89752435064932,60.57118517367999
7413,192.79761904761904,55.349635252676435
7480,192.79761904761904,54.12615085085762
7550,194.1943359375,56.11005970737756
7613,196.65104166666669,55.27857942246417
7680,178.12174479166666,55.02534997352643
7750,194.40104166666669,52.80029465089471
7813,194.40104166666669,57.423165610053786
7880,,54.372335398548216
7950,215.78125,50.88876416899743
8013,114.140625,51.521109202591106
8080,114.140625,50.426424429687266
8150,,49.12641795663937
8213,18.631103515625,53.933505403469596
8280,,51.84694269334348
8350,188.99544270833334,56.22726788799164
8413,188.99544270833334,54.08833321776419
8480,199.71354166666666,51.93113462455747
8550,,55.6008365667212
8613,180.384765625,54.17034687755513
8680,180.384765625,54.097607232140106
8750,181.88201121794873,51.75726298385933
8813,183.34635416666669,58.8544264261374
8880,207.353515625,52.89573346197649
8950,183.390625,52.946910311011436
9013,183.390625,59.45595112823237
9080,,51.86023493117446
9151,52.28515625,49.12338986672293
9213,47.8173828125,47.8778625028125
9280,,48.76581525403972
9350,,54.476277459103876
9413,39.599609375,45.11549159745066
9480,,52.70478525477336
9550,48.0615234375,50.570610168852106
9613,48.0615234375,49.15837602863455
9680,38.564453125,47.45948749437237
9750,41.2060546875,65.26979518847651
9813,46.03515625,66.66333178891206
9880,,49.50793095126248
9950,,54.37638012076085
10013,429.21875,52.95573696790583
10080,,54.54280672796099
10150,35.5224609375,56.823626205697806
10213,35.5224609375,56.913282003671824
10280,0.0,56.462184007793226
10349,,69.46418807328156
10413,54.3603515625,55.134027352427985
10480,76.72265625,49.898456639413446
10549,76.72265625,51.7194281585474
