relative_time,DecibelSource,PitchSensor
0,40.11908896305083,33.58795166015625
17,,47.0947265625
40,38.55048968529117,47.0947265625
80,41.389085603329974,47.0947265625
120,41.698264266624214,
160,37.41289334891179,
165,,144.9658203125
200,39.93967062432135,144.9658203125
240,41.163813602535726,144.9658203125
280,43.04867800387544,144.9658203125
291,,80.125732421875
320,38.906245528764146,80.125732421875
360,39.76593669986451,80.125732421875
369,,46.5087890625
400,36.17378163628683,46.5087890625
440,41.84596855786463,46.5087890625
448,,43.06640625
480,41.99915017424424,43.06640625
520,41.399175975608166,43.06640625
529,,43.3154296875
560,40.180893608280854,43.3154296875
600,42.46596540886975,43.3154296875
640,45.395432292889375,43.3154296875
645,,56.81640625
680,45.641547113326865,56.81640625
720,46.90157989552992,56.81640625
760,47.852796493902105,
800,45.9878453033804,
810,,203.4716796875
840,46.02921980547502,203.4716796875
900,44.95747710601856,203.4716796875
940,42.40314437818337,203.4716796875
948,,132.01171875
980,43.99804455925302,132.01171875
1020,43.46671092067592,132.01171875
1060,45.24550207346473,
1100,43.949362020603864,
1109,,346.09375
1140,45.70285358174935,
1141,,346.09375
1180,46.188362334343715,346.09375
1220,48.408306400314046,
1260,50.41496557949436,
1300,49.535303027104106,
1304,,0.0
1340,49.015611977495155,
1380,46.181647603084144,
1389,,39.70703125
1420,49.99780807745686,
1421,,39.70703125
1460,49.13949370932697,39.70703125
1468,,51.6845703125
1500,48.30224297227996,51.6845703125
1540,49.12451455955206,51.6845703125
1580,47.141281117724,51.6845703125
1591,,77.31038411458334
1620,51.444441086026515,77.31038411458334
1660,51.91720410846328,77.31038411458334
1700,57.08583746629945,
1740,56.02650702495563,
1746,,0.0
1780,57.99423414333408,
1820,55.760976977087644,
1827,,218.355712890625
1860,58.45865731004041,218.355712890625
1900,57.82979755105963,218.355712890625
1940,57.50450521424483,218.355712890625
1980,55.62859910126771,
2020,50.27881788853389,
2033,,299.35546875
2060,53.59608914244289,299.35546875
2100,48.847095907367915,299.35546875
2160,47.9664624690422,
2200,47.711849739728876,
2240,55.8332841664311,
2247,,117.5732421875
2280,56.28412799624138,117.5732421875
2320,52.13074956871254,117.5732421875
2360,48.80807456909511,
2400,42.216645958922285,
2409,,180.2978515625
2440,40.649651067366825,180.2978515625
2480,45.33325860755223,180.2978515625
2520,45.30745661668192,
2560,45.233688215489295,
2600,44.04271774413898,
2612,,96.953125
2613,,96.953125
2640,50.34425312468743,96.953125
2680,56.2876939030391,96.953125
2720,56.44958370821677,
2760,55.68163702640391,
2770,,378.6865234375
2800,52.86788384938254,
2801,,378.6865234375
2840,53.311472791687976,378.6865234375
2880,53.9793940763908,378.6865234375
2920,53.63178159144123,
2960,50.56798469239018,
2972,,149.97383626302084
3000,54.1008430098354,149.97383626302084
3040,49.35547937979845,149.97383626302084
3053,,146.03778076171875
3080,47.350418907892625,146.03778076171875
3120,46.34040305418051,146.03778076171875
3131,,149.994140625
3160,45.049870418872075,149.994140625
3200,48.68132269108881,
3201,,149.994140625
3240,48.93651736485424,149.994140625
3252,,160.94694010416666
3280,49.43955766180454,160.94694010416666
3320,50.799492077039886,160.94694010416666
3334,,164.60357666015625
3360,44.640612784671106,164.60357666015625
3400,50.58536170411564,
3401,,164.60357666015625
3415,,94.94768415178572
3460,52.865721704410504,94.94768415178572
3500,52.453001848236624,94.94768415178572
3540,45.321193511468735,94.94768415178572
3580,42.851158662682735,
3620,54.91664174897207,
3634,,55.76171875
3660,57.40697110222153,
3661,,55.76171875
3700,51.71895939563587,55.76171875
3740,47.31610837077441,
3780,54.013377853959184,
3788,,186.91935221354169
3820,50.38013572917115,186.91935221354169
3860,55.14645243490403,186.91935221354169
3900,50.90328242665628,186.91935221354169
3911,,183.95670572916669
3940,53.157741823327385,183.95670572916669
3980,49.29363112778095,183.95670572916669
4002,,118.8818359375
4021,51.19383650302642,118.8818359375
4060,46.98898431942905,118.8818359375
4100,46.596404678422076,
4140,54.0555501947457,
4180,51.07900167180094,
4194,,29.626900809151785
