relative_time,DecibelSource,PitchSensor
0,43.24546067851993,110.634765625
40,46.62764517379549,
80,44.06827799564387,
120,44.79701970138216,
127,,56.9189453125
160,44.4605860534507,56.9189453125
200,45.19491279784967,56.9189453125
240,43.83984648786159,
280,41.61998060876552,
298,,57.931884765625
320,43.96005354179132,57.931884765625
360,44.28807071047725,57.931884765625
420,44.755492090553034,57.931884765625
429,,48.79609607514881
460,44.232568390755844,48.79609607514881
500,44.41327016841997,48.79609607514881
509,,57.998291015625
540,43.48189746974682,57.998291015625
580,44.96041795189996,57.998291015625
620,45.73022812488436,
660,45.04429421767561,
669,,114.4482421875
700,47.88705546732902,
701,,114.4482421875
740,49.71397626404504,114.4482421875
781,48.13120767731776,114.4482421875
820,44.70101263367645,
860,47.52988428388842,
870,,54.70703125
900,44.0636224824091,54.70703125
940,45.11614408866776,54.70703125
981,44.06207013736762,
1020,47.573783816621514,
1060,45.9539566493023,
1071,,96.3916015625
1100,48.113545892995575,96.3916015625
1140,45.90585723087341,96.3916015625
1148,,114.6826171875
1180,46.26240751067264,114.6826171875
1220,48.49979731605583,114.6826171875
1233,,113.7451171875
1234,,113.7451171875
1260,48.38163217084688,113.7451171875
1300,44.971497774045716,113.7451171875
1340,44.609006268586285,
1381,43.53962124074677,
1420,42.47177527956437,
1427,,55.3515625
1460,42.217157120155136,55.3515625
1500,43.52526596772654,55.3515625
1540,45.44915883868982,
1581,45.40627144234197,
1596,,52.28902762276786
1620,46.08469578645199,52.28902762276786
1680,51.62229179933884,52.28902762276786
1720,53.08340379821232,52.28902762276786
1730,,70.84814453125
1760,49.06253975670467,70.84814453125
1800,45.37109520703601,70.84814453125
1810,,50.16752697172619
1840,47.7233188783677,50.16752697172619
1880,47.09693694761556,50.16752697172619
1921,42.12238406107906,
1960,41.98007082522348,
1970,,53.1640625
2000,46.78188075769281,53.1640625
2040,45.13221012308848,53.1640625
2080,46.44030229795726,53.1640625
2090,,53.8720703125
2091,,53.8720703125
2120,39.7589987225204,53.8720703125
2160,50.01218346741907,53.8720703125
2200,56.57299943044082,
2240,55.629017378332016,
2249,,52.57101004464286
2280,47.769391787810775,52.57101004464286
2320,48.323201223693474,52.57101004464286
2360,49.16064768691918,52.57101004464286
2379,,69.27034505208333
2400,51.32410689932541,69.27034505208333
2440,50.63046426026308,69.27034505208333
2452,,101.94841657366072
2480,48.12209627186479,
2481,,101.94841657366072
2520,42.54544759425154,101.94841657366072
2535,,74.90128580729166
2560,46.41732547747563,74.90128580729166
2600,50.94491290364219,74.90128580729166
2640,51.884943551131386,
2680,50.466213409757856,
2720,46.29114654644014,
2738,,115.56614019931894
2739,,115.56614019931894
2760,43.655703349207684,115.56614019931894
2800,43.293146544656594,115.56614019931894
2811,,119.0858866373698
2840,43.78942455552611,119.0858866373698
2880,40.20980456991296,119.0858866373698
2920,39.831198969623244,
2981,43.851467589037554,
3020,40.30335335716402,
3035,,52.1630859375
3060,38.914502458121,52.1630859375
3100,38.833193784824054,52.1630859375
3140,39.58278166026573,
3180,38.614886716262234,
3190,,139.4970703125
3220,42.85345130268748,139.4970703125
3260,40.78306444876994,139.4970703125
3300,41.66177445981369,
3340,40.14444123237625,
3380,40.136458089833326,
3390,,139.8095703125
3420,35.9402708054851,139.8095703125
3460,38.04630896289207,139.8095703125
3500,40.09919671758369,
3540,49.265603133578715,
3551,,56.337890625
3580,57.46414410135537,56.337890625
3620,51.30919735190566,56.337890625
3660,51.044657316202745,56.337890625
3674,,53.7353515625
3700,51.967080521239424,53.7353515625
3740,56.59332365134532,53.7353515625
3780,54.91372207867585,
3820,47.89394541339146,
3830,,113.00447591145834
3860,57.21956989443857,113.00447591145834
3900,55.30443204952823,113.00447591145834
3940,52.284442963570086,
3980,48.39348848669885,
4020,48.843955174400065,
4030,,17.115885416666664
4060,54.57638260594959,17.115885416666664
4100,55.26351169777601,17.115885416666664
4140,51.28972106940033,
4180,51.30059878434526,
4197,,567.5608723958333
4240,47.63727149054016,567.5608723958333
4280,49.13196220137379,567.5608723958333
4320,55.57249141390037,567.5608723958333
4360,58.22178477743045,
4400,54.54867728915701,
4411,,194.970703125
4412,,194.970703125
4440,55.92297022869396,194.970703125
4480,58.16054360251576,194.970703125
4520,60.750865536243275,
4560,53.627717574106946,
4565,,255.5078125
4600,46.78848872978567,255.5078125
4640,49.01921811324746,255.5078125
4680,54.418671696102344,255.5078125
4720,54.571427570563756,
4760,56.13760722556052,
4767,,216.16536458333331
4800,54.01407495838729,216.16536458333331
