relative_time,PitchSensor,DecibelSource
0,117.12109375,41.64917666100958
56,170.359375,41.605585621075576
123,170.359375,44.29978248073312
192,143.80440848214286,35.64429326997983
256,166.57477678571428,31.16939646550756
323,,48.82598526779927
389,554.171875,48.347131022431036
456,554.171875,52.31240148945076
523,366.5550595238095,50.34211205224905
589,,50.345923641714386
656,1017.34375,33.26745379565322
723,1017.34375,36.23352681537992
790,,28.739015978644616
856,92.57533482142857,52.10709021933293
923,,51.2668326338829
989,201.89453125,53.36857821398017
1056,201.89453125,55.42070667032155
1123,224.77760416666666,39.42504106168081
1190,113.13020833333334,32.85557309007774
1256,0.0,31.550322287909704
1323,0.0,29.439888750737715
1391,0.0,29.32473764677153
1456,0.0,23.783979009481374
1523,0.0,24.45604203273598
1590,0.0,24.683473304121573
1656,0.0,24.69822015978163
1723,0.0,24.563660331290432
1790,0.0,38.945375849957465
1856,,53.13308180920985
1923,,46.00133973782029
1990,914.3489583333333,41.54302219684665
2056,,59.73366649901781
2123,185.99144345238096,42.01451749121719
2190,216.73123937074828,34.632956099620024
2256,216.73123937074828,43.04878117698279
2323,293.15104166666663,58.04532641899271
2389,,58.751521661890834
2456,207.58203125,54.682247061565654
2523,170.34040178571428,46.57218443699756
2590,170.34040178571428,37.32071940999867
2656,162.154296875,52.672820486637335
2723,214.45833333333331,55.57290602176188
2791,184.52799479166669,50.08766193796926
2856,184.52799479166669,43.99760225710366
2923,182.3046875,34.51632947456991
2989,182.48046875,41.699975370665705
3056,222.80381944444446,54.90604521201231
3123,192.91666666666669,55.84660213514293
3190,192.91666666666669,51.81735000750332
3256,118.34263392857143,53.09180738216874
3323,,54.07589733526584
3389,271.5876116071429,42.159810567918626
3456,271.5876116071429,49.16811765043007
3523,234.41964285714286,42.6150077319828
3591,166.42020089285714,54.90268980312345
3656,,50.59601279762754
3723,555.40625,37.00876708376904
3790,555.40625,36.21280167550415
3856,429.57886904761904,56.268400831084726
3923,493.17708333333337,58.45253117495606
3989,,52.76964742958267
4056,338.828125,42.61786086565755
4123,338.828125,56.862813610973106
4189,275.7041015625,49.84284220430386
4256,289.7018229166667,34.65977368285823
4323,368.0338541666667,50.637873103176716
4390,368.0338541666667,32.70678836144707
4456,276.26302083333337,35.773768919170145
4523,194.921875,59.62873430811235
4590,227.26171875,60.345414286055345
4656,,55.741354858976955
4723,,49.85484855146045
4790,299.7411777210885,45.4734388818062
4856,165.37109375,35.07045872427326
4923,238.63541666666669,54.74015101258105
4989,238.63541666666669,53.30298081373321
5056,,49.85255776732697
5122,184.14279513888889,36.734816970733476
5189,,45.102366052633904
5256,709.921875,47.960120228027606
5323,709.921875,43.751146846922246
5389,,34.33769833924866
5456,599.0611979166667,46.09882420608204
5523,482.421875,54.04616515074074
5589,482.421875,51.3141333629996
5656,462.41666666666663,54.01519438469911
5723,,50.10155733355474
5790,83.84933035714286,37.67007363949804
5856,,55.36466271462392
5923,,55.2995237459246
5989,456.171875,60.6307052564296
6056,372.98828125,46.63389930814253
6123,451.37152777777777,50.90712924207431
6189,451.37152777777777,51.65896909992507
6256,557.4609375,38.78291949249796
6322,467.7734375,54.40855578724783
6389,240.14248511904762,57.31940731410041
6456,,40.7733156112899
6523,,42.84611182369772
6589,138.80022321428572,45.41491877073948
6656,,45.34533756005116
6723,393.2421875,36.77059177392161
6790,,53.960231517497974
6856,,34.565178578052624
6923,530.8984375,41.26261318863882
6989,492.1875,55.33916883769003
7056,,47.68401283311461
7122,,47.74823418392262
7189,216.25880456349208,34.26673888021373
7256,,47.901936498820646
7323,920.41015625,37.27297202803587
7390,,26.159500516564012
7456,,54.70723528857163
7522,256.2828125,48.54214921512205
7589,,38.105685292164125
7656,867.3958333333333,41.479235389806064
7722,867.3958333333333,48.03156556367429
7789,,42.770129393765274
7856,276.0546875,33.236645356081
7923,282.96875,34.84726804298661
7990,,53.94889257167419
8056,,55.50998389769781
8123,578.9192708333333,41.42514604999374
8191,,34.0226138245468
8256,485.9375,53.16257681996233
8322,485.9375,35.340261060561346
8389,414.13783482142856,39.65859936807072
8456,476.3482142857143,41.467480136306406
8522,,41.409477713426625
8590,2546.40625,37.48420622467569
8656,2546.40625,27.810369386211317
8723,0.0,39.94756944587628
8789,,57.83416868255906
8856,315.1171875,51.532720381032775
8922,312.80078125,40.74340942365077
8989,312.80078125,47.85514904695922
9056,216.83333333333331,41.27493544756782
9123,,35.614591712419156
9189,429.67075892857144,39.56312530841195
9256,429.67075892857144,56.263855398654115
9322,,59.38746819817958
9389,282.01692708333337,54.5374019592844
9456,211.16875,40.119086133491535
9523,,38.45718017966659
9589,,46.30956436459432
9656,433.0007440476191,36.028193424327
9723,253.60863095238096,52.44106338969303
9789,249.88671875,42.59761066798664
9856,249.88671875,43.129174811163686
9923,141.16629464285714,56.281241852061854
9989,,52.13780644715443
10056,437.1100725446429,47.711904821905534
10122,642.3072916666667,51.162822331988934
10189,642.3072916666667,51.6157761104887
10256,454.658203125,51.955066732872226
10322,237.1015625,45.802062565612765
10389,236.58528645833331,35.449357658815025
10456,140.8046875,36.68572269184558
10523,140.8046875,39.483640559883696
10589,,50.57327511280939
10656,237.71000744047618,51.314229632211436
10722,250.72916666666669,39.8904915643822
10789,250.72916666666669,35.640739789771466
10856,,43.22942516353015
10922,241.5234375,28.898617212581886
10988,0.0,26.75778341674085
11056,,41.03256233355051
11122,,35.579881482249135
11189,909.86328125,25.13217600067939
11256,0.0,42.77952847038809
11322,,53.11389324443941
11389,,33.87033701282363
11456,295.205078125,36.9407846208076
11522,,39.662356240985815
11590,1840.78125,37.614767795447015
11656,1912.34375,36.506959797606115
11722,1912.34375,30.301947853567516
11789,0.0,24.424797690644485
11856,0.0,31.10252917353403
11923,,42.539192605749115
11989,,59.45723079991964
12056,232.10491071428572,48.45755188514182
12122,255.109375,36.658623002031554
12188,165.75390625,52.849380543431366
12256,,38.450359935134145
12322,,33.70698092575577
12389,527.34375,59.69976126265469
12456,,52.85271435670208
12523,449.140625,50.381072884362716
12589,,54.31149781206662
12656,,43.431327637012835
12722,256.5989583333333,41.3350697377835
12789,361.9010416666667,55.85822678713469
12856,323.0442708333333,39.21998431308271
12922,323.0442708333333,49.266870696936834
12989,345.97265625,46.7974577829864
13056,,46.41969597702059
13122,168.71837797619048,55.81010458301996
13188,192.28683035714286,50.927627390396786
13256,192.28683035714286,43.67337281377873
13322,199.96409970238096,32.0303288701471
13389,283.3951822916667,57.91540479249167
13456,,49.701282790340066
13522,,40.08600171761918
13589,207.94419642857144,48.43014641446969
13656,,55.58074662027635
13722,2351.71875,46.86090824757442
13788,,35.483894181329184
13856,,41.77997963096566
13922,516.2745535714286,48.48324620369303
13988,448.984375,49.0933133604901
14056,,56.20361995957215
14122,,57.60812871350818
14190,228.93080357142856,48.123918903221664
14256,234.74934895833331,46.49792282323836
14322,,43.183346842261365
14389,299.296875,29.845273133437928
14456,299.296875,29.190780923760737
14522,0.0,24.653828514484182
14588,0.0,23.673559210260187
14656,0.0,22.92256071356476
14722,0.0,22.479732663618066
14788,0.0,21.613680022349747
14856,0.0,21.702617153949575
14922,0.0,22.121876044039578
14988,0.0,22.71841606536499
15056,0.0,21.931245983544617
15123,0.0,23.201462861110542
15188,0.0,21.818435879447726
15256,0.0,22.71841606536499
15322,0.0,22.121876044039578
15388,0.0,22.671717284030137
15456,0.0,26.693168805661124
15522,0.0,27.307822756663892
15588,,46.39685661242681
15656,,50.382465000473545
15722,354.3359375,48.773483057635644
15788,263.8671875,58.26493338626079
15856,,45.691748611451374
15922,208.61328125,33.85963570600697
15988,208.61328125,48.8040196038887
16056,257.79198145604397,57.36257027526135
16122,161.71763392857144,55.80838336113841
16189,,53.27775657094047
16256,,44.520165659625484
16322,165.63151041666666,36.1394747678035
16388,207.9375,33.16180098893453
16456,,36.973165417323834
16522,1113.59375,34.32969290874406
16588,1113.59375,28.014037100173553
16655,0.0,31.77824971864682
16722,,34.07900540142635
16789,3642.34375,35.69607967546824
16855,,44.237372499823294
16922,,43.03023169487511
16988,1121.25,45.93529735349562
17056,1172.5,47.454495603226185
17122,,52.45867854379191
17188,,51.95373754817413
17256,1025.625,53.4655051394471
17322,911.8359375,54.92627706459238
17389,,55.36761654938584
17456,363.7421875,53.04242719659696
17522,363.7421875,53.90981005720688
17589,,52.33539273624763
17655,224.33919270833334,54.26272089568394
17722,224.79817708333334,54.80775625030067
17788,224.79817708333334,51.74019081617632
17856,257.0234375,52.35323876333172
17922,224.36755952380952,50.47368337751547
17988,209.10714285714286,49.3245854380943
18056,,52.26885904117114
18122,,49.3752290693622
18188,364.1875,46.2010480964248
18256,204.43005952380952,47.19712370619715
18322,,46.80833895327369
18389,,43.9667001368851
18456,147.85714285714286,47.78462383286363
18522,,43.21722674346009
18588,261.8125,43.80934463330702
18656,,45.792461104541886
18722,,41.528385098922186
18788,204.76785714285714,56.77450907134144
18856,289.0564123376623,58.42080401342413
18922,,44.42558154495923
18989,314.4047619047619,58.07952210335535
19056,314.4047619047619,46.88571086767393
19122,,40.13342904345347
19188,495.546875,38.15046176064631
19256,284.375,56.15207014680447
19322,284.375,50.52713175089954
19388,,55.67119335242861
19455,452.77785714285716,52.503199566641044
19522,413.96484375,50.61983712399997
19588,353.28125,43.787067035289525
19656,353.28125,40.76239819775025
19722,,52.36287798012286
19788,225.732421875,52.96360199694309
19856,,44.114681814579185
19922,,41.840665056916606
19988,118.42447916666666,32.425414282983844
20056,,27.846172926328755
20122,0.0,26.473829701146197
20189,0.0,27.151673578484576
20256,0.0,31.427022457376154
20322,0.0,29.444826721501688
20388,0.0,27.11807229041191
20456,0.0,28.363241157067517
20522,0.0,27.60422483423212
20590,0.0,60.12891613520861
20656,,56.9269184934664
20722,215.66731770833331,43.696054340843496
20788,212.79427083333331,41.14844413145023
20856,212.79427083333331,61.072472902263115
20922,,46.17639772655201
20988,165.3046875,40.887383652739985
21056,138.88020833333331,36.40878778701618
21122,185.537109375,52.86101523662697
21189,185.537109375,49.334518544525295
21256,178.14753605769232,41.38555305113583
21322,182.0492931547619,33.6285930295868
21388,,35.02563669107363
21456,,37.21233370017278
21522,118.97135416666666,35.31478917042255
21588,,36.18048096712093
21656,496.9996279761905,50.828427938894414
21722,,51.0956504880863
21788,,48.72121294602961
21856,185.599609375,43.8913063030664
21922,137.8022693452381,34.37433443797971
21988,0.0,30.437551269686796
22056,0.0,29.768083373380662
22122,0.0,29.781805169374138
22189,0.0,30.588054866759066
22255,0.0,29.827233876685455
22322,0.0,32.01670179646582
22388,0.0,28.312296938670634
22455,0.0,26.35483746814912
22522,0.0,25.68201724066995
22590,0.0,25.976951859255124
22655,0.0,26.232492903979004
22722,0.0,27.649229846498887
22788,0.0,25.301996982030822
22856,0.0,25.646660642520892
22922,0.0,24.653828514484182
22989,0.0,24.771212547196626
23055,0.0,24.62397997898956
23122,0.0,25.563025007672874
23188,,58.44633096129258
23255,987.578125,58.571973615703854
23322,987.578125,46.90018780788695
23388,,42.043913319192995
23456,355.703125,56.41986434333945
23522,,45.048920393880756
23588,,43.372595397502764
23656,273.13802083333337,43.87710089398606
23722,,61.32592329046184
23789,226.17838541666669,62.082964778663566
23855,,63.30934208888969
23922,,54.322395120535745
23988,186.86383928571428,43.39550810825671
24055,,41.74670241487047
24122,634.5052083333333,46.45667841581761
