relative_time,DecibelSource,PitchSensor
0,15.439695537087596,0.0
40,19.230612408148648,
79,19.305615211305074,0.0
119,20.988594639005377,
159,26.716130474683087,0.0
199,31.375215013922464,
240,33.05292253362651,
279,35.41896073785111,
281,,3640.048828125
319,36.05931209889157,3640.048828125
359,36.88909571951496,3640.048828125
399,37.47237540010994,
439,37.10881204703939,
445,,454.83006068638394
480,37.008090009118895,
481,,454.83006068638394
520,32.71202863663434,
521,,454.83006068638394
564,30.044334894043125,454.83006068638394
600,27.59551366388502,
641,46.8036778017725,
657,,144.061279296875
658,,144.061279296875
680,48.74319447421229,144.061279296875
720,43.831827445386516,144.061279296875
760,45.47281693513511,
800,43.39924786150309,
840,46.16750252578391,
851,,625.337890625
880,49.32765406422618,625.337890625
920,49.16315338954477,625.337890625
960,60.85763347787108,
1000,62.89325523991242,
1012,,377.29146321614587
1040,63.83606346416029,377.29146321614587
1080,62.96159957041806,377.29146321614587
1120,46.65457374241829,377.29146321614587
1132,,375.3268229166667
1161,39.53893478329996,375.3268229166667
1200,37.016431107611524,
1201,,375.3268229166667
1211,,361.9281141493056
1212,,361.9281141493056
1240,47.5712905790856,361.9281141493056
1280,41.4129228434614,361.9281141493056
1291,,309.76139322916663
1320,37.912814642191414,309.76139322916663
1361,26.913722201224125,
1362,,309.76139322916663
1400,43.08912037604269,309.76139322916663
1414,,296.7200520833333
1441,44.5603456283295,296.7200520833333
1480,41.74787652063104,
1481,,296.7200520833333
1491,,326.70068359375
1520,41.28342789558217,326.70068359375
1563,41.15317653475313,
1564,,326.70068359375
1575,,171.74479166666669
1600,40.291238337425725,171.74479166666669
1640,44.48545288379984,171.74479166666669
1681,42.55262834858372,171.74479166666669
1691,,190.1134033203125
1720,35.108199969705204,190.1134033203125
1761,34.85945602514704,
1762,,190.1134033203125
1800,22.318124572116318,
1841,22.70018283960542,0.0
1881,24.136484847257677,
1920,33.04664151064746,
1962,25.613819865357907,0.0
2000,24.194021508468644,
2040,35.21844144171156,0.0
2080,40.408202990565734,
2122,41.69812686427956,
2137,,247.4951171875
2160,41.94379297034018,
2161,,247.4951171875
2201,34.04132550870551,247.4951171875
2240,27.093906392666177,
2241,,247.4951171875
2262,,254.7265625
2282,52.21943326882987,
2283,,254.7265625
2320,51.38839190808213,254.7265625
2361,49.10358247294461,
2401,42.047511772545334,
2411,,390.4285539899554
2440,46.485783923922845,
2441,,390.4285539899554
