relative_time,DecibelSource,PitchSensor
0,19.453183835454052,
40,18.038502361992833,0.0
80,16.37248001791067,
119,15.836151193708899,0.0
159,23.02071397502852,
199,23.356386741051804,0.0
240,21.81611905025742,
279,22.132526548855402,
319,21.35271510485343,
320,,0.0
360,19.915726253347586,
399,24.859120679286264,
400,,0.0
440,24.99569421106498,
480,17.140625662530166,
483,,0.0
520,14.67697013214073,
560,22.861335162610047,
600,28.31661234906069,0.0
640,41.05756043515284,
681,49.115809396116994,
688,,339.2333984375
689,,339.2333984375
720,35.97542466154327,339.2333984375
760,34.88880082153622,339.2333984375
766,,419.000244140625
800,29.07859649706041,419.000244140625
840,26.563095662192772,
841,,419.000244140625
880,32.6380683115776,419.000244140625
920,26.536734812543358,
960,20.013028967143708,0.0
1000,16.603695723008332,
1041,16.717939319595544,0.0
1080,29.354892718124916,
1121,23.389113840531863,
1161,19.91261245509245,0.0
1200,18.045535597711876,
1240,18.856906422621314,0.0
1280,19.620099570926495,
1320,18.196409120748985,0.0
1360,18.593589006595366,
1400,21.009329206987726,
1441,20.640949066740934,0.0
1481,19.847951153390227,
1520,19.184755259576054,
1521,,0.0
1560,19.55379006140378,
1602,19.224700657589647,0.0
1643,19.589493962558755,
1681,19.952819174811125,
1720,20.241220350281665,0.0
1761,20.889573139098193,
1801,21.200644488332255,0.0
1840,21.39225633312573,
1880,20.53892532285953,0.0
1920,19.93753548383644,
1961,19.85940971422824,
2000,20.583235730602986,0.0
2041,21.405921201233408,
2082,20.786043477976072,0.0
2120,20.35345772912711,
2160,20.661948814000848,0.0
2202,20.084263496735844,
2241,19.579958194063995,
2242,,0.0
2281,19.697148404750628,
2321,19.314503751139785,
2362,41.69221162036028,0.0
2400,31.783639529886845,
2440,29.30919590232994,
2450,,382.6478358677455
2480,25.76110110047884,
2481,,382.6478358677455
2520,23.091024507335533,382.6478358677455
2521,,0.0
2560,22.692017752898863,
2600,21.308459243934447,
2640,39.18351643960206,0.0
2680,47.681505430130485,
2720,49.56442868897778,
2726,,376.2181396484375
2760,44.11323059310537,376.2181396484375
2800,40.26387118815751,376.2181396484375
2808,,379.90302191840277
2840,43.66769889934203,379.90302191840277
2880,46.178628268004005,379.90302191840277
2920,39.53097079097454,379.90302191840277
2961,34.0532273685161,
3000,32.224564841919154,
3017,,162.10497174944197
3040,42.94929819462862,162.10497174944197
3080,47.57432595505925,162.10497174944197
3120,46.58492564774771,
3160,50.10297530710438,
3200,45.211167261844516,
3210,,343.3573521205357
3211,,343.3573521205357
3240,40.22600442366149,343.3573521205357
3280,43.931278462866594,
3281,,343.3573521205357
3287,,343.00927734375
3320,39.023498373445435,343.00927734375
3360,31.811413542565038,
3361,,343.00927734375
3400,41.38420105638991,
3440,37.47916376121853,
3481,34.320142443380675,
3499,,454.78079659598217
3500,,454.78079659598217
3520,46.125051364415945,454.78079659598217
3560,39.186756826054136,454.78079659598217
3571,,509.99129231770837
3600,36.61095596671614,509.99129231770837
3640,30.74919632884145,509.99129231770837
3651,,285.2900826590402
3680,36.16379048067935,
3681,,285.2900826590402
3720,34.99735540542284,285.2900826590402
3760,30.769193655029884,285.2900826590402
3771,,257.2265625
3800,34.6968328798746,257.2265625
3840,38.41429705898841,257.2265625
3880,53.87914916952103,
3920,54.03585649806733,
3937,,479.9140625
3960,47.178928172723744,
3961,,479.9140625
4000,45.54862500405683,479.9140625
4040,40.3000504231408,479.9140625
4051,,357.4000331333705
4081,38.05720609047572,357.4000331333705
4120,37.31114836863247,
4121,,357.4000331333705
4133,,459.0185546875
4160,29.257171654511712,459.0185546875
4200,26.659137368997232,
4201,,459.0185546875
4214,,458.65763346354163
4240,23.821631027083775,458.65763346354163
4280,35.71622554691757,
4281,,458.65763346354163
4320,39.363471559825776,458.65763346354163
4361,34.254819093688724,
4403,29.54280531794118,
4416,,482.4658203125
4440,31.110686746925392,482.4658203125
4482,34.12804708222342,482.4658203125
4483,,0.0
4521,32.54858968041711,
4561,27.078698557847225,
4602,27.885190826718368,
4603,,0.0
4640,53.714124613025255,
4681,51.735473627774375,
4698,,451.7937941778274
4720,43.29742052099298,
4721,,451.7937941778274
4760,46.83017478066993,
4761,,451.7937941778274
4770,,339.3287876674107
4800,51.168654872065495,
4801,,339.3287876674107
4841,44.56110668968081,
4842,,339.3287876674107
4881,47.962777355846086,339.3287876674107
4890,,389.6037074497768
4921,48.59238573372632,389.6037074497768
4960,53.063570957166704,389.6037074497768
4975,,330.74680873325894
5000,56.47639868986654,
5001,,330.74680873325894
5040,54.59227394697575,330.74680873325894
5051,,331.4991106305804
5081,56.51745045148425,331.4991106305804
5124,59.10930078781149,331.4991106305804
5160,59.11606282287934,
5201,50.6239013069988,
5241,46.74609445472893,
5252,,2466.4892578125
5253,,2466.4892578125
5280,51.54378600829822,2466.4892578125
5321,47.06407282056742,2466.4892578125
5360,45.110249918820216,
5400,48.7718793810511,
5410,,82.77736118861607
5411,,82.77736118861607
5440,42.02234537806695,82.77736118861607
5480,35.1281284514605,82.77736118861607
5522,46.232371971845545,82.77736118861607
5560,41.77153815503709,
5600,43.3566410140985,
5614,,275.087890625
5641,56.975930755177956,275.087890625
5680,56.94203236611816,275.087890625
5721,51.477091892078874,
5762,49.930040680774226,
5802,42.89183369528378,
5812,,527.3447265625
5840,46.7236641955369,527.3447265625
5880,45.48817168284235,527.3447265625
5920,38.50337248379267,
5960,32.77724438191369,
5969,,1027.1641031901042
6001,52.147557029761494,1027.1641031901042
6040,49.5983750452994,
6041,,1027.1641031901042
6080,61.435103773101325,1027.1641031901042
6120,62.686464874456185,
6161,57.88247528031759,
6174,,497.38053385416663
6201,51.809986792681315,497.38053385416663
6241,50.82321952214351,497.38053385416663
6251,,422.99900599888394
6280,45.14338561396876,
6281,,422.99900599888394
6320,40.96352142856975,
6321,,422.99900599888394
6360,35.8988491397449,
6361,,422.99900599888394
