relative_time,PitchSensor,DecibelSource
0,381.40625,40.38302172199525
12,381.40625,40.72065991414746
76,381.40625,47.90468134504561
143,404.921875,53.26821098203759
210,406.31510416666663,42.35604189339838
276,383.125,38.76275588677879
343,,48.098558765326715
410,,49.21186879609802
476,136.78819444444443,44.972752863579956
543,136.82942708333334,46.34023593567083
612,,51.886754229698326
676,,46.157607295087644
743,1955.78125,45.03586421323274
811,,39.93788813818705
876,383.203125,43.832946183637105
943,,51.22851285895312
1011,,42.03440866830438
1076,282.13541666666663,58.67180416865598
1143,331.2936197916667,53.60468445997973
1212,380.71875,42.30321168919079
1276,,39.86503015386741
1343,,38.89357736888932
1413,294.53404017857144,46.959717323773404
1476,298.5267857142857,45.90685826190732
1543,,42.52513226416275
1613,,45.67026366159061
1676,737.8385416666667,39.837615602861646
1743,411.015625,35.20614521878236
1813,,48.107297223079556
1876,298.125,47.062397100486145
1943,298.125,42.7964413386531
2014,439.453125,38.636796678758984
2076,424.296875,48.37575813212417
2143,464.765625,48.99787682964237
2213,464.765625,52.0167563900236
2276,548.984375,55.5617822651155
2343,,53.98880539940902
2413,204.31640625,48.86107022931356
2476,,41.74088895463686
2543,,39.20279894632949
2612,202.68229166666669,32.711443179490786
2676,,30.261245167454504
2743,0.0,32.00029266553771
2813,0.0,32.53338005326106
2876,,29.211660506377388
2943,0.0,36.750447359558926
3011,,43.97070549959409
3076,562.9650297619047,43.460007009567505
3143,562.9650297619047,49.412032425554514
3211,,50.078586838437154
3276,145.24153645833331,45.90105874562201
3343,190.77604166666669,53.625069785228405
3413,190.77604166666669,50.054979635650696
3476,136.7568824404762,41.27784876362171
3543,,46.06467355504293
3611,558.359375,42.17694460205379
3676,,46.597451094661125
3743,,48.41941060496873
3813,459.296875,46.61755911305936
3876,571.9196428571429,42.04879333760662
3943,492.76041666666663,48.66718465120687
4011,,51.80661958087928
4076,,42.3656245185336
4143,470.078125,36.04334073102911
4213,,47.65966424785714
4276,189.26990327380952,44.40373751816356
4343,189.26990327380952,48.42003550709923
4413,,44.03377931722859
4476,154.0078125,53.088972095534
4543,155.04805307539684,46.182155032794164
4611,159.2109375,37.603470785299066
4676,159.2109375,46.16664524764013
4743,,45.66413920620156
4813,208.85267857142856,45.15277603767959
4876,137.15494791666669,50.71981368405174
4961,124.93229166666666,39.35356092945573
5011,124.93229166666666,36.75136504467994
5076,,48.967080540099815
5143,283.2248263888889,53.85692051691008
5211,179.40848214285714,42.51735530437842
5276,179.40848214285714,49.07744478751577
5343,112.59375,55.331680988980935
5411,,49.21332654449853
5476,229.109375,42.012605322507916
5543,123.79730902777777,36.545615547417434
5611,123.79730902777777,31.05510184769974
5676,,43.87763443621557
5743,495.75520833333337,51.66660965698523
5811,,54.48933453698536
5876,,46.60884442414339
5943,114.32254464285714,42.25257576924099
6012,,37.091002815511665
6076,299.61328125,33.051363189436394
6143,0.0,31.112625136590655
6211,0.0,28.337843746564786
6276,0.0,28.870543780509568
6343,0.0,29.585638832219672
6413,0.0,30.382226383687186
6476,0.0,31.338581252033343
6543,0.0,31.455071714096626
6612,0.0,32.78753600952829
6676,,31.699681739968923
6743,0.0,29.74971994298069
6812,0.0,30.934216851622352
6876,0.0,29.449759084120476
6943,0.0,30.342272607705503
7011,,45.18421807033958
7076,,42.971912890319885
7143,160.833984375,43.0362797638389
7212,158.36360677083331,45.10169531720514
7276,157.15813078703707,45.02645577977923
7343,157.08984375,43.20312491425713
7411,157.08984375,43.07496037913212
7476,155.60709635416669,44.544637327511374
7543,154.67447916666669,41.81357592028451
7612,,40.594119374386565
7676,,38.62727528317975
7743,152.083984375,40.98436045340363
7811,,43.92943042340061
7876,145.1519097222222,39.27370363039024
7943,191.64713541666669,35.24396122103842
8011,191.64713541666669,40.146885118723375
8076,,39.70625776688295
8143,492.03776041666663,38.55276803830092
8211,,35.397032389478255
8276,156.42708333333331,40.33785516842231
8343,156.42708333333331,42.18482987593645
8410,144.51171875,46.49179030048144
8476,140.99934895833331,41.40256569677416
8543,,52.38304594577622
8611,,44.415851737508014
8676,3962.5,45.20011644448907
8743,,47.99188864576873
8810,176.11607142857142,40.95239112010478
8876,176.27864583333331,35.1067903103221
8943,176.27864583333331,35.22313795156667
9011,,34.84726804298661
9076,290.78125,33.624824747511745
9143,,55.2034857261276
9211,,56.15467116980268
9276,152.69160604056438,56.09498362970645
9343,149.96785714285713,48.09094871857159
9410,,43.22591387701336
9476,86.09598214285715,39.60661007270982
9543,86.09598214285715,36.36788689034375
9611,,37.64997599284881
9676,375.625,38.19148942807134
9743,,46.38499240621076
9812,,46.39854885632376
9876,144.736328125,48.33159866335832
9957,,44.11282913017384
10011,136.87239583333334,41.35800283302111
10076,136.1328125,32.70212854896243
10143,136.1328125,30.318122713303705
10211,0.0,29.232440186302764
10276,,42.86613631657004
10343,1147.8125,49.4000818257441
10411,,47.91887054448624
10476,,46.06424362435713
10543,132.44791666666666,46.906390117159674
10611,131.65988568722943,47.87927815730676
10676,129.47591145833334,46.46825071714234
10743,129.47591145833334,38.47942638845224
10811,,32.61262868792493
10876,127.11458333333334,30.228406108765277
10943,0.0,31.048284036536554
11010,0.0,33.18689269947746
11076,0.0,42.182465796683026
11143,,46.30478726202636
11213,145.76171875,44.333857574179376
11276,146.34114583333331,50.152297829805256
11343,146.34114583333331,55.60290500864479
11412,,55.24125983540138
11476,774.62890625,45.903178697661275
11543,,45.43894291804688
11611,193.984375,45.74621506951349
11676,193.984375,44.43216034165833
11743,,43.66254810686386
11813,469.296875,40.033743540197506
11876,295.1015625,44.71350395537361
11943,,42.57678574869185
12012,,46.103513636266925
12076,131.591796875,36.658623002031554
12143,,31.77824971864682
12210,1521.5625,40.38500943076674
12276,1521.5625,38.809849904867534
12343,,38.62846659982939
12411,217.82366071428572,46.03479981788932
12476,275.03515625,47.34519807346076
12543,,39.12275210498812
12612,,52.78401451113802
12676,1520.0,45.65529061750794
12743,,40.025979807199086
12813,1633.90625,36.17419746737176
12876,1633.90625,43.2701135975241
12943,,38.73494982256169
13011,386.328125,48.17532316971622
13076,,48.69372549159407
13143,118.58151041666667,41.2165831249807
13210,118.58151041666667,36.667051361198986
13276,110.70963541666666,38.99820502427096
13343,,46.50385242259184
13411,277.73809523809524,38.61295393526696
13476,277.73809523809524,46.05574376060999
13543,205.99330357142856,53.667105237207544
13611,286.2034970238095,51.994726843140825
13676,344.22395833333337,45.93274987938277
13743,,48.72336948300805
13811,,50.557451858092335
13876,380.890625,49.26517364149191
13943,,52.65249542544295
14011,93.20451388888888,51.594017448497965
14076,92.5318287037037,55.72861151138001
14143,92.5318287037037,39.9361255793889
14211,,36.55426587745919
14276,111.76302083333334,33.16389751073195
14343,86.5163845486111,34.34728541779758
14411,86.5163845486111,33.392526340326995
14476,,33.87033701282363
14543,72.029296875,33.21391278311689
14609,86.73502604166666,33.3665982345442
14676,0.0,31.53814864344529
14743,0.0,29.459607035775687
14809,0.0,41.74931593528442
14876,,39.40018155007663
14957,267.109375,44.068125934784234
15010,267.109375,58.16062240931099
15076,297.625,45.498856757704125
15143,,38.24321124850771
15213,1515.15625,41.604985435223455
15276,,39.48315140689348
15343,,47.012743269021314
15411,131.71502976190476,41.07718610520263
15476,,48.100644148453554
15543,625.625,46.06392114840978
15611,625.625,39.55447210577696
15676,,54.44689510020606
15743,486.89453125,58.79032193605561
