relative_time,PitchSensor,DecibelSource
0,187.47395833333334,47.62686064430917
31,179.1840277777778,51.15550604855541
86,179.1840277777778,39.20018916028915
153,,41.59988050381987
220,382.734375,43.076671547325674
287,197.65625,43.22115878973959
353,197.65625,43.16515493818436
420,,40.57590038670664
487,411.77455357142856,38.79841055986562
553,,37.31669331828636
619,,36.095944092252196
687,155.07291666666666,44.77323878202748
753,,42.83278608610214
820,167.318359375,51.882702187431946
887,159.34583333333333,50.833951078896504
953,159.34583333333333,47.86069641029243
1020,,43.956583223341326
1087,486.69921875,33.25104982971408
1153,,35.91064607026499
1220,,50.7256603421994
1287,54.79966517857143,49.03762622281107
1353,,46.186650889403154
1420,382.96875,44.81485625827413
1487,,55.433937442830874
1553,,51.231261226969124
1620,185.25048828125,45.98812385027239
1686,179.18294270833334,49.96432861569592
1753,177.95131802721087,45.19302849235429
1820,177.95131802721087,46.02667578390853
1887,183.8025173611111,43.59304142349933
1953,182.24869791666666,35.29173603261723
2020,180.61848958333331,34.67460109507264
2087,,48.26418213273364
2153,,41.7333198036865
2220,356.5625,40.18325945402921
2287,475.78125,50.9393972754777
2353,449.8828125,58.59651578618851
2420,,55.789622324044295
2487,,50.42335265009381
2553,224.61458333333331,45.187113016090294
2620,,47.61627184561583
2687,377.7578125,45.2508369733867
2753,377.7578125,48.7591742669908
2820,,39.955035702650065
2887,103.72265625,41.857970474462
2953,,50.97510661018397
3020,375.859375,41.456003576522484
3087,375.859375,39.140256516963284
3153,378.828125,52.24185902657425
3220,266.22395833333337,52.97092694045322
3286,268.1302083333333,48.78291949249796
3353,268.1302083333333,40.334237554869496
3420,238.58854166666666,41.97225406118192
3487,199.78428819444443,43.91975460609763
3553,,51.46732524963511
3620,177.80859375,47.78020942491912
3687,177.80859375,45.761224198299445
3753,,49.00022834328618
3820,191.82259114583334,50.16059261060136
3887,167.14764835858585,50.51573101830943
3953,,46.98378961840572
4020,,38.93539843564661
4087,335.78125,50.39132430507244
4153,335.44270833333337,45.2945602113109
4220,,53.61835452185134
4287,,53.77399148089119
4353,153.6706845238095,51.348716781277574
4420,205.34784226190476,37.49581734865559
4487,,44.78508778206304
4553,156.741868622449,45.87497693147987
