relative_time,PitchSensor,DecibelSource
0,320.5133928571429,50.429454697907985
63,320.5133928571429,46.02624207493338
130,169.51757812499997,42.52658889500619
197,,47.90003520390489
264,265.0855654761905,50.69301714524998
330,265.0855654761905,52.09962482575428
398,,51.60747566454651
464,191.53645833333334,49.717905723062266
530,138.48307291666669,48.3340850274661
598,89.38802083333334,46.90931099361164
663,89.38802083333334,39.28190948038757
730,,50.23104239070011
799,384.9609375,38.75466415866386
863,,36.75228253593064
930,,41.46964796989748
999,760.90625,35.826314394896364
1064,,50.7940557358365
1130,510.4631696428571,49.577796299419234
1198,,38.2144801901753
1264,,46.417516529769884
1331,159.80794270833331,47.76192514747072
1400,,38.171685723810555
1464,136.57552083333331,35.795549604009985
1530,136.57552083333331,49.430540624621315
1599,,54.99154883358638
1664,134.90438988095238,52.52962197435443
1730,137.43436437074828,43.514097519254385
1798,,44.79589704847995
1864,,48.88449088556481
1930,140.4609375,49.67196842000647
1999,,55.93486549568799
2064,667.2395833333333,45.6748513419138
2130,370.7109375,36.849350826408894
2199,370.7109375,31.03803720955957
2263,,44.17372034852321
2330,65.00651041666666,46.7228262478892
2398,,46.827946776811054
2463,,56.52821472746761
2530,135.9540343915344,49.85673417270288
2598,131.80264136904762,48.769160772978786
2664,135.4983258928571,50.36077694264519
2730,142.18982514880952,48.590481853568896
2799,142.18982514880952,47.99381908863346
2864,136.58942522321428,41.374807093841355
2930,,50.77393344383214
2997,129.72981770833337,52.35578943330128
3064,129.72981770833337,52.82724047975797
3130,129.6730248917749,45.64725228407471
3197,129.81119791666669,36.469915374771226
3263,129.41964285714286,38.35056101720116
3330,,37.23701893991268
3399,,34.42009159140952
3464,304.703125,34.494783991873646
3530,301.546875,30.017337128090006
3600,0.0,31.18264726089479
3663,0.0,30.59941888061955
3730,0.0,43.25228227870849
3799,,40.98401422270078
3864,57.2578125,41.592964266883854
3930,,39.61326155934711
3998,,40.483252509312216
4063,336.5625,37.234556720351854
4130,,39.083777724323944
4197,305.85677083333337,46.182678046008064
4264,305.85677083333337,45.00922239190301
4330,409.0859375,46.23032088852036
4398,,42.22690464711341
4464,318.4375,44.034808532373404
4530,421.328125,47.5539458051783
4600,421.328125,47.78093340591985
4663,,38.72272846224205
4730,105.607421875,35.91064607026499
4798,,37.22880610686939
4864,109.70833333333334,35.57747741641468
4959,,47.29286310324604
4998,,39.791384695468096
5063,165.65755208333334,49.026500410687895
5130,145.00310019841268,45.40567207842695
5198,145.00310019841268,45.71697188368911
5263,,39.46009884765765
5330,417.8125,37.0620554188197
5397,383.515625,37.38066714777469
5463,,44.32969290874405
5530,,40.40800061256529
5599,485.96875,42.55778886667017
5663,,42.571263580225924
5730,137.58463541666669,43.9989859664846
5798,137.58463541666669,47.12397131406715
5863,,42.60643706735025
5930,131.11607142857144,47.31346975545954
5998,130.15950520833331,47.602339466362686
6063,,45.92997918988107
6130,,49.16101105493798
6200,410.15625,38.271753482986924
6263,408.28125,42.1900787825689
6330,,48.916991033241516
6399,,49.17747008853616
6463,134.72005208333331,44.74740598479892
6530,,41.6325084951263
6599,135.80078125,34.60296326757475
6663,,31.775364999298624
6730,,46.33730972885361
6798,305.375,44.52583700206957
6863,,45.074510609019704
6930,1022.96875,48.62918123299103
6998,,46.801722823113025
7063,,47.95615885995009
7130,402.03125,51.801316121734786
7198,509.4921875,50.19838820563446
7263,,45.16429596757871
7330,,45.07613030501773
7399,299.6875,41.67760266435629
7463,384.21875,40.44696517110194
7530,382.5,40.26655813877043
7598,,31.775364999298624
7663,,46.584693119778805
7730,3651.25,53.66902750945148
7798,1861.71875,52.396872923467406
7863,,53.18000691817921
7930,,44.75089803389007
7999,109.66015625,37.657430414210445
8063,,40.981936258632885
8130,1851.875,36.619072927660206
8198,,35.729877081982046
8263,,34.81155870828035
8330,1924.0625,32.043913319192995
8398,,44.485053542594514
8463,410.15625,48.35513013368682
8530,556.5792410714286,49.357087478426635
8598,556.5792410714286,37.32634967539196
8663,585.6343005952381,34.046627008737225
8730,647.13671875,53.35860915442937
8798,,53.03122588458338
8863,,54.14787898045069
8930,128.01432291666666,53.52483524615281
8998,153.31659226190476,49.847252884948944
9063,,46.19604578379167
9130,151.07282366071428,53.39558759405083
9198,151.07282366071428,54.662609632436634
9263,117.45008680555556,45.550823510705
9330,95.2919921875,42.00741090235126
9398,,41.04760166638525
9463,,39.60375631410158
9530,491.78059895833337,43.1329762608687
9597,,40.705919315120404
9663,305.69010416666663,41.63161374977018
9730,,44.65486950662139
9798,,48.29483887261625
9863,138.45052083333331,53.10072751892904
9958,133.71298363095238,50.26962036054797
9998,134.31821469907408,43.60820535237942
10063,,41.79120729609299
10130,,40.15108160645837
10198,468.9508928571429,37.17670503002262
10263,,38.51625203153309
10330,1873.4375,33.912880485952975
10398,1873.4375,32.263420871636306
10463,,38.10098040681143
10530,1915.15625,38.48065895403992
10598,,50.55252153558648
10664,,51.888553924550735
10730,240.021484375,45.82199769073717
10798,129.34635416666666,45.65965817446667
10863,,46.975257478615475
10930,152.859375,43.57191338783729
10998,152.859375,40.5407655729051
11063,155.37109375,45.58624582816597
11130,133.58630952380952,41.4126159062209
11197,,40.209824429184195
11263,384.0625,34.03120521175818
11330,384.0625,48.53138255811964
11398,,54.60144312135651
11463,122.66183035714286,50.847120854249034
11530,,41.03221992452924
11599,,35.23486332343228
11663,122.96958705357143,37.07740454273771
11730,,41.101855274111614
11799,380.0625,39.84347257585864
11863,198.1796875,46.20052729094396
11930,198.1796875,41.81957860931065
11999,246.33463541666666,37.89510204090254
12063,,36.97054892272575
12130,401.40625,44.214229331260555
12197,406.171875,41.59687479754788
12263,406.171875,36.056282220076184
12330,,38.37525309449602
12397,1918.75,34.273237863572476
12463,,33.8327665040765
12530,,35.49738731264899
12598,87.72705078125,35.72057989926304
12663,,40.4127422505423
12730,1850.625,43.298654857580075
12798,,42.769899893682314
12863,,42.55610158407738
12930,1873.75,41.56730826499419
12999,1924.375,35.91398551281249
13063,1520.3125,35.10946948672973
13130,1520.3125,54.555924218219864
13198,,52.59909093792132
13263,200.38169642857142,42.49980605909529
13330,206.265625,51.148777498928354
13398,,47.26588668991952
13463,,44.21027775667483
13530,104.47265625,45.59248104088254
13598,,49.55302822761691
13663,587.6953125,46.25384484356541
13730,587.6953125,43.91623077546977
13798,,44.128132159638696
13863,130.14583333333334,45.891897589878596
13930,,44.443571256560276
13998,241.392578125,41.62295502772753
14063,241.392578125,40.48402956152739
14130,151.17327008928572,40.1110502981598
14198,176.54947916666669,40.94785467819558
